name,kategorie,lat,lng,beschreibung,link
Urtlpoint,Indizort,48.06764451,13.55742709,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Töttenthallergut,Indizort,48.06787368,13.8896201,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Scheibenpoint,Indizort,48.06904382,12.85365596,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Scheiblwies,Indizort,48.06940261,13.56779724,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Rad,Indizort,48.07110878,14.37687609,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
im Rad,Indizort,48.07186608,14.33336565,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schedlgut,Indizort,48.07196519,14.45075127,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Rathfeld,Indizort,48.07209398,14.366847,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schörgen,Indizort,48.07231992,13.49324728,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Rathnergütel,Indizort,48.0745313,14.3580503,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Thöttenthallersölde,Indizort,48.07686554,13.91835357,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Radgasse,Indizort,48.07695848,14.28363888,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schedlaignersölde,Indizort,48.07743788,14.38074775,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Wasenmeisterhaus am Fuchsbichl,Abdecker,48.07756,14.257888,Abdeckerhaus am Fuchsbichl,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=92319
Totenhölzl,Indizort,48.07773736,13.89075939,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Wasenmeisterei,Abdecker,48.07808,13.497541,Abdeckerhaus Frankenburg am Hausruck,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=3929
Rabenbauer,Indizort,48.080594,14.101716,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Galgen Atzbach,Richtstätten,48.0807,13.69798,noch nicht lokalisiert,
Galgen Frankenburg,Richtstätten,48.08073,13.49366,noch nicht genau lokalisiert,
Gerichtsplatz Schachenwald,Richtstätten,48.08095,14.11687,,
Gerichtsplatz,Indizort,48.080955,14.116876,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Henkham,Indizort,48.08271323,12.95724434,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Abdecker,Abdecker,48.08683,14.140333,Abdeckerhaus im Schachen,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=88858
Hinkermeier,Galgenhäuser,48.08791,14.110531,Hinkenhof,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=87526
Richterin,Indizort,48.08840894,13.63094812,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schedlgütl,Indizort,48.08918156,13.82203337,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schörgendorf,Indizort,48.08926529,13.8131496,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Urtlmeiergut,Indizort,48.09002991,14.36985824,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Rothhueb,Flurnamen,48.090059,14.114512,"Rothhueb dürfte vom altgermanischen ruot („Recht, Ordnung“) stammen und auf einen Ort hinweisen, an dem einst Recht gesprochen wurde. JL FK, FL",https://maps.arcanum.com/de/map/europe-18century-firstsurvey/?bbox=1569540.898961317%2C6120792.805625565%2C1573902.58688784%2C6122510.250104848&map-list=1&layers=163%2C165
Rothub,Indizort,48.090059,14.114512,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schedlberg,Indizort,48.09047814,14.26296505,aus Schedlberg wurde Schiedlberg,
Abdecker Thomasroith,Abdecker,48.090645,13.63991,Wasenmeisterhaus,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=8587
Wasenmeister Ertlmoos,Abdecker,48.092326,13.40267,Wasenmeister zu Ertlmoos,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=41964
Schedlgut,Indizort,48.09250297,13.84103911,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schedlgut,Indizort,48.093308,13.83960665,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Helml-Kreuz,Kleindenkmäler,48.0934,13.898803,,
Abdecker,Abdecker,48.09377,13.9074,,
Hochgericht Lambach,Richtstätten,48.09649,13.904353,"Detail aus der Lambacher Hausmappe<br><img src=""bilder/Lambach_Detail.jpg"" alt=""Hochgericht Lambach""     style=""width:260px;border-radius:8px;margin-top:6px;""><br><span style=""font-size:0.9em;"">Quelle: Stiftsarchiv Lambach, Lambacher Hausmappe, ca. 1723, Mappe 2.</span>",
Untergallngut,Galgenhäuser,48.09756,14.09083,Untergallngut zu Oberweidach,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=87010
Gerichtsholz,Flurnamen,48.09786,13.914761,,
Abdecker Ampflwang,Abdecker,48.097955,13.556821,Abdeckerhäusl,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=5508
Radwiesen,Flurnamen,48.10085,13.16275,"Der Flurname könnte auf ein nahe Richtstätte hinweisen, auf der „gerädert“ wurde, FK",https://maps.arcanum.com/de/map/cadastral/?bbox=1463093.7284914851%2C6122699.67673976%2C1467450.63910374%2C6124417.121219043&map-list=1&layers=3%2C4
Radwiesen,Indizort,48.10085,13.162757,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Galgen Wolfsegg,Richtstätten,48.10299,13.66966,"Wolf — Haken am Galgen, auch Galgen selbst, also alte Richtstätte",
Geigenrath,Indizort,48.10319155,14.42120256,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Wasenmeister Mattighofen,Abdecker,48.103295,13.17432,Wasensölden,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=36976
Galgen Bergern,Richtstätten,48.10415, 13.632432°,"1698 wird ein letzter Delinquent wird am Galgen oberhalb des Richterhauses erhängt , nachdem er vorher einer hübschen Frau die Nase abgebissen hatte.",https://www.ottnang.info/Archiv/Ortschaften/bergern/Rueckblick.htm
Rote Kapelle,Indizort,48.10647535,13.92675681,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Richtstätte Kematen,Richtstätten,48.10776,14.17305,Richtstätte neben das Kemat-Schachen bei der Welser Straß auf der linken Hand,
Schörgend,Indizort,48.11022499,14.00211991,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Radinger,Indizort,48.11024751,14.04098172,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schörgendorf,Indizort,48.11029241,14.01035157,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Gut beim Rathen,Indizort,48.11059143,14.04024971,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Dumenschedlgut,Indizort,48.11063934,14.36201216,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Gallngut,Galgenhäuser,48.11143,14.09407,Galln oder Weydingergut,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=87107
Rabenberg,Indizort,48.114357,13.776822,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schwertmanngütl,Indizort,48.11484914,13.79533725,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Rabenbauergut,Indizort,48.115403,14.402111,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Wolfersberg,Flurnamen,48.11546,13.455709,JL – Josephinische Landesaufnahme (1775–1777),https://maps.arcanum.com/de/map/europe-18century-firstsurvey/?bbox=1492588.239981773%2C6123225.822168858%2C1501311.615834819%2C6126660.711127424&map-list=1&layers=163%2C165
Richt- oder Scheideweg,Indizort,48.11605906,12.83748969,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schindeggergütl,Indizort,48.1168508,13.356459,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Würglau,Flurnamen,48.11878,13.448556,JL – Josephinische Landesaufnahme (1775–1777),https://maps.arcanum.com/de/map/europe-18century-firstsurvey/?bbox=1492588.239981773%2C6123225.822168858%2C1501311.615834819%2C6126660.711127424&map-list=1&layers=163%2C165
Schindecker,Indizort,48.12206245,13.27873288,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Wolfen- oder Wasengütl,Abdecker,48.123337,13.646379,"Wolfen- oder Wasengütl, der Wolf war der Haken am Galgen",https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=8850
Rabenberg,Indizort,48.125429,13.996512,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Häusl am Rabenstein,Indizort,48.12742,13.994712,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Wasenmeister Hochburg,Abdecker,48.12779,12.885236,"Wasenmeistersölde, FL",https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=31547
Rabensteinergütl,Indizort,48.1283,13.996646,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Abdecker Hörbach,Abdecker,48.128517,13.751773,,
Rothlehner,Indizort,48.1299907,14.2378704,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schwerdtmanngut,Indizort,48.1302594,13.79548151,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Rathgut,Indizort,48.13102038,14.21184011,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Abdecker Laah,Abdecker,48.13114,14.36043,Wasenmeister im Hamet,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=96142
Abdecker Julianaberg,Abdecker,48.13115,14.20677,,
Schedlgut,Indizort,48.13127124,13.79635859,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Radner,Indizort,48.1320799,14.304781,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Galgenbuche,Richtstätten,48.13254,13.62263,,
Scheibmayer,Indizort,48.13286552,14.41931526,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Wolfer,Indizort,48.13733776,14.29789118,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schindeckergut,Indizort,48.13759166,13.37669701,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Scheiben,Flurnamen,48.1384,13.63145,"Bahnhof Scheiben, Hinweis auf die nahe Galgenbuche?",
Mar in Rad,Indizort,48.13846103,14.3667737,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Spiesberg,Flurnamen,48.14027,12.96131,"Spiesberg dürfte seinen Namen vom mittelalterlichen Brauch ableiten, die Köpfe der Hingerichteten auf Spießen oder Lanzen zur Schau zu stellen. Der Flurname bezeichnet somit mit hoher Wahrscheinlichkeit einen Platz im Umfeld der Richtstätte, an dem die Exekution oder die öffentliche Abschreckung stattfand.",
Galgengut,Galgenhäuser,48.14053,12.9477,Galgengut,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=32064
Wasenmeisterhäusl Holzgassen,Abdecker,48.14087,12.817008,Wasenmeisterhäusl,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=30748
Wasenmeisterhaus Altenhof,Abdecker,48.141417,13.68118,Wasenmeisterhaus und Wasenmeisterhaus altes,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=10592
Wolffacher,Indizort,48.14207114,13.37771149,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Feuerrad,Indizort,48.14295902,14.26635637,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Rabenbergergut,Indizort,48.14303,13.573424,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Wolfenkreuz,Kleindenkmäler,48.143805,13.62665,eigentlich ein Marien-Bildstöckl,https://www.ooegeschichte.at/media/migrated/bibliografiedb/hbl1973_1_2_57-80.pdf
Richtstätte St. Marien,Richtstätten,48.14638,14.27907,"Schranne, die Hinrichtungen fanden draußen im Samareiner Holz statt, dort wo ein Kreuz steht",
Abdecker Holzgassen,Abdecker,48.147135,13.93495,Wasenmeisterhäusl,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=22686
Abdecker Eberschwang,Abdecker,48.14725,13.56481,Abdeckerhaus zu Reinthall,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=48821
Urtlmühle,Indizort,48.14830279,13.74189987,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Galgenhügel,Flurnamen,48.15042,13.9805,ein Galgenstandort aus viel früherer Zeit,https://www.roemerweg.at/wp-content/uploads/2025/11/Galgenhuegel_2025.pdf
Wasenmeister St. Marien,Abdecker,48.154443,14.27172,"Wasenmeisterhaus im St.Mareiner Holz, JL, FL",https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=92982
Fronfeste Wels,Richtstätten,48.15597,14.0253,Johann Hofreiter wird am 9.7.1886 im hinteren Hof der Welser Fronfeste gehängt.Dies war die letzte Hinrichtung in Wels ,
Galgenhaus,Galgenhäuser,48.156069,13.99041,"Galgenhaus, FL, ca. 1965 geschleift. Letzter Besitzer: ""der alte Hutterer""",
Abdecker Offenhausen,Abdecker,48.156224,13.81506,Wasenmeister- oder Abdeckerhaus,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=17775
Richtstätte,Richtstätten,48.15648,14.02445,in der Welser Pancharte erwähnt,orte/rathauswels.html
Schandkreuz,Pranger,48.1566,14.0285,Auf dem Stich von Merian aus dem Jahre 1640 (bzw. Vischer 1674) rechts neben der kaiserlichen Burg zu sehen.<br><img src='bilder/Schandkreuz.jpg' alt='Schandkreuz Wels' style='width:260px;border-radius:8px;margin-top:6px;'>,
Kreisgericht Wels,Richtstätten,48.156999,14.019104,"Eröffnung im November 1900, k.k. Justizpalast (!)",orte/kreisgerichtwels.html
Schedlstraße,Flurnamen,48.15737,13.98806,"oder alte Lambacher Straße, heute Römerstraße",orte/schedlstrasse.html
Winterrathner,Indizort,48.15765808,14.09693046,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Hochgericht der Stadt Wels,Richtstätten,48.157892,13.99153,"Dreischläfriger Galgen, LH, zahlreiche Skelettfunde",orte/wels-hochgericht.html
Galgenhäusel,Galgenhäuser,48.15894,14.00149,Galgenhaus in Wagrain oder Häusl beim Siechhof,
Richtstätte Niederneukirchen,Richtstätten,48.16043,14.339491,"Schranne / Richtstätte befand sich ""aussen auf dem Creuzholz, da stet ein Creuz""",
Aichenrath,Indizort,48.16043331,14.11660377,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Kranberg,Indizort,48.161745,14.129142,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
im Rath,Indizort,48.1625011,14.14147131,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schwertlhäusl,Indizort,48.165477,13.10713187,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Radberg,Indizort,48.16696814,14.27962738,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Bauer zu Rad,Indizort,48.16758313,14.44970402,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Rathner in der Gstettn,Indizort,48.16927984,14.11600999,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Wasenmeister Thaling,Abdecker,48.16957,14.47681,Waasenmaisterhaus auf der Haid,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=100153
Richtstätte,Richtstätten,48.170011,12.900399,Hinrichtungsstätte Gilgenbergbogen,
Wasenmeister See,Abdecker,48.17101,13.867869,Wasenmeisterhaus,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=20134
Galgen in der Flez,Richtstätten,48.17285,14.01854,"zahlreiche Hinrichtungen im 19. Jhdt., daneben ehem. Gasthaus 'zur schönen Aussicht'",orte/flez.html
Wölflkreuzsäule,Kleindenkmäler,48.17293,14.01892,"Errichtung unbekannt, nach Beschädigung durch LKW an den Straßenrand versetzt",
Radfeld,Indizort,48.17321216,14.45371561,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Richtstätte bei der Wegscheid,Richtstätten,48.17678,12.830207,hier wurde der Fricklbub am 15.12.1719 hingerichtet,http://www.anton-praetorius.de/downloads/Burghausen_Raimund_Frickl_Zaubereiprozess_1719.pdf
Richtberg,Flurnamen,48.18264,13.96309,mündlich überliefert,
Auerspergisches Blutgerüst,Richtstätten,48.18309,14.066862,"unter Christoph Weiß errichtetes Hochgericht, JL,",orte/auerspergwels.html
Abdecker,Abdecker,48.18339,13.62813,Wasenmeisterhaus im Hausruck,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=7852
Eggerkapelle,Kleindenkmäler,48.183437,13.96823,"Armesünderkapelle vom nahen Richtberg, Funktion nicht belegt.",
Rabengut,Indizort,48.183478,14.434985,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Kronleiten,Flurnamen,48.18465,12.981279,"Krähen-/Raben= Synonym für Richtstätte, KronLEITEN könnte aus Kraanleiten („Krähenleiten“) entstanden sein – ein Name, der häufig Richtstätten bezeichnet, da sich dort Raben und Krähen sammelten.",
Todengraberhäusl,Galgenhäuser,48.1848,14.08349,"Nähe Auerspergisches Blutgerüst, FL",https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=27161
Wasenhofstatt,Abdecker,48.18561,14.69456,"Wasenhofstatt, Wohn- und Arbeitsort des Wasenmeisters",https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=72302
Schindergraben,Flurnamen,48.1871,14.06051,WZ 1931-05-29 Seite 17,https://anno.onb.ac.at/cgi-content/anno?aid=wez&datum=19310529&seite=17&zoom=33&query=%22Schindergraben%22&ref=anno-search
Schedlhaus,Indizort,48.18775425,14.43577687,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Hochgericht Haag,Richtstätten,48.18915,13.62177,,
Schedlberg,Indizort,48.19028615,14.43989224,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schörgenauergut,Indizort,48.19067352,13.64297312,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Todenauer,Indizort,48.19272763,14.20390431,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Rabenbergergut,Indizort,48.193977,13.553208,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Abdeckerhaus in Dopplgraben,Abdecker,48.19539,13.9897,"Abdecker- oder Wasenmeisterhaus, heute Reitstall",https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=24291
Richtstätte Hasenufer,Richtstätten,48.19668,14.22422,"in der Schranne wurde enthauptet, auf dem Haidlein bey dem Chreuz ei die Stras hinein zum Traunufer wurde gerädert und gebrannt",
Galgen Pöchlarn,Richtstätten,48.197039,15.22911,"südl. der Stadt auf der Galgenleiten, JL, FL",https://maps.arcanum.com/de/map/europe-18century-firstsurvey/?bbox=1691060.1200520245%2C6138891.974295995%2C1699054.9554792272%2C6141254.356201434&map-list=1&layers=163%2C165
Gerichtsdienerhaus,Indizort,48.19763596,14.42203982,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Rabensteinerhäusel,Galgenhäuser,48.19775,14.22141,"Krähen-/Rabenstein = Synonym für Richtstätte, Kronstein dürfte aus Kraan- oder Rabenstein („Krähenstein“) entstanden sein – ein Name, der häufig Richtstätten bezeichnet, da sich dort Raben und Krähen sammelten.",https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=91121
Schedlhaus,Indizort,48.19979243,14.45388879,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Rabenberg,Indizort,48.200315,14.452666,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Abdeckerhaus Waasen,Abdecker,48.20055,13.176888,Wasenmeister,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=37068
Wasenmeisterhaus,Abdecker,48.2007,14.10826,"FK, FL",https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=27473
Wasenstatt Waasen,Abdecker,48.20113,13.17138,Waasenstadt mit Haus,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=36912
Radwinkel,Flurnamen,48.20242,12.9707,"Der Flurname könnte auf ein nahe Richtstätte hinweisen, auf der „gerädert“ wurde, „Radscheiben“. JL, FL, FK",https://maps.arcanum.com/de/map/cadastral/?bbox=1441738.980141825%2C6139851.443103662%2C1446095.89075408%2C6141568.887582945&map-list=1&layers=3%2C4
Rambergergut,Indizort,48.20243,13.450055,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Abdecker Wildenau,Abdecker,48.203,13.308109,Wasenmeisterei,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=39894
Krenhanslsölden,Indizort,48.203656,13.25792,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Wolfsberg,Indizort,48.20525518,13.25676322,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Hochgericht Enns 2,Richtstätten,48.20633,14.49876,Landgericht Burg Enns (Landesgerichtskarte 1906),
Rothenbuch,Flurnamen,48.208,12.9671,"Eine „Rotbuche“ könnte ursprünglich „Ruotbuche“, also die „Rechtsbuche“ gewesen sein. JL",https://maps.arcanum.com/de/map/europe-18century-firstsurvey/?bbox=1439226.586063717%2C6139159.299817597%2C1447940.4072882272%2C6142594.188776162&map-list=1&layers=163%2C165
Rabensteinerhäusel,Indizort,48.20902,14.256139,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Abdecker Traun,Abdecker,48.21117,14.215525,,
Abdecker Gallspach,Abdecker,48.211308,13.80722,Abdeckerhaus,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=17307
Dingberg,Indizort,48.21178304,13.89009454,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Hochgericht Enns,Richtstätten,48.2166,14.445084,"Hochgericht Kristein, Karte aus dem Jahr 1655, ""Justitia""<br><img src='bilder/Kristein_Richtstätte_1655.jpg' alt='1655' style='width:260px;border-radius:8px;margin-top:6px;'>",
Wasenmeister,Abdecker,48.217381,13.49049,"Wasenmeisterhaus, Wasenstatt in der Etz",https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=45870
Rabenberg,Indizort,48.218337,13.507382,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
